shoeNumber	shoeName	url	corescore	user_rating	shoe_image	terrain	arch_support	men_weight	women_weight	good_buy_bullets	bad_buy_bullets	bottom_line	amazonLink
0	Nike Air Zoom Pegasus 35	https://runrepeat.com/nike-air-zoom-pegasus-35	93	4.3/5 from 1186 users	https://cdn.runrepeat.com/i/nike/28162/nike-air-zoom-pegasus-35-mens-942851-002-black-oil-grey-white-6f1d-600.jpg	Road	Neutral	10.1oz	9oz	<s>Many people liked the aesthetics of the Nike Air Zoom Pegasus 35, emphasizing the freshness of the color schemes.</s><s>The zigzag stitching of the engineered mesh was appreciated because it kept the façade durable.</s><s>A lot of testers welcomed the full-length Zoom Air unit, which responsibly cushioned the foot and attenuated impact shock.</s><s>The grip capability of the outsole unit received praise from a lot of consumers.</s><s>Based on several runners’ responses, the Pegasus 35 functioned well across a variety of activities like speed training, even-paced runs, and even half-marathons.</s><s>Several wearers admired the overall design of the shoe; they said it is very comfortable.</s><s>A few wearers mentioned that the shoe has a lightweight construction.</s><s>The Pegasus 35 runs true to size, as mentioned in some user reviews.</s>	<s>A tester complained that the upper unit of the Nike Air Zoom Pegasus 35 was a bit wide and that it didn’t hug the foot securely.</s><s>A few runners reported that the collar wasn’t too secure; the heel tended to slip off the shoe’s opening.</s><s>The outer section of the midsole unit creased after a few uses, according to a tester. Such an occurrence supposedly diminished the visual flair of this model.</s><s>The shoe is pricey compared to other road running shoes available in the market, said a few users.</s>	Many people liked the Nike Air Zoom Pegasus 35. They welcomed the color schemes, the sturdiness of the engineered mesh, the comfortable underfoot platform, and the traction-ready outsole. Moreover, the versatility of this model was lauded. On the other hand, several consumers complained of an inconsistent fit, as well as a decline in the quality of the aesthetics via the midsole creasing.	https://www.amazon.com/s?k=Nike+Air+Zoom+Pegasus+35
1	Adidas Ultra Boost	https://runrepeat.com/adidas-ultra-boost	90	4.4/5 from 4644 users	https://cdn.runrepeat.com/i/adidas/16674/adidas-ultraboost-w-zapatillas-de-running-mujer-blanco-38-2-3-mujer-varios-colores-blanco-ftwbla-ftwbla-ftwbla-3ce5-600.jpg	Road	Neutral	10.7oz	9.4oz	<s>Several testers noted that the Adidas Ultra Boost had a fashionable design; they stated that it worked well as both an athletic shoe and a choice for casual walks.</s><s>The midsole unit felt lightweight, according to many runners. They didn’t feel as if the boost™ midsole dragged them down.</s><s>A lot of consumers were happy about this shoe because it kept them comfortable as they tackled their running sessions.</s><s>The energy-returning boost™ technology was deemed highly efficient; people felt their steps being energized and enabled as they ran.</s><s>Several users noted that the external heel counter kept the back of the foot in place, preventing in-shoe wobbling or accidental shoe removals.</s><s>The overall durability of this model was appreciated by those who have tried it. Many people agreed that the robustness of this model was on-point. They enjoyed its capacity to last long, even after many runs.</s>	<s>The price for a pair of the Adidas Ultra Boost was considered by many to be expensive.</s><s>Some testers noticed that the raised traction nodes of the outsole wore off quickly, causing the shoe to lose its traction over the asphalt.</s><s>A few runners felt that the fit profile was a bit narrower than they expected.</s>	The Adidas Ultra Boost received a lot of praise for its appealing look, its durable components and the responsiveness of its mid-sole. Many runners were able to stay comfortable throughout their running activities. A lot agreed that the price was costly, but they also commented that it was worth the investment because of its overall quality. This road shoe became highly recommended by neutral runners.	https://www.amazon.com/s?k=Adidas+Ultra+Boost
2	Asics Gel Kayano 25	https://runrepeat.com/asics-gel-kayano-25	95	4.6/5 from 1796 users	https://cdn.runrepeat.com/i/asics/27945/asics-men-s-gel-kayano-25-running-shoes-blue-indigo-blue-cream-400-8-uk-men-s-blue-indigo-blue-cream-400-cd4d-600.jpg	Road	Stability	11.9oz	9.8oz	<s>The Kayano 25 is very comfortable to wear even for long hours, said several users.</s><s>A few lauded the shoe’s appealing design and color options.</s><s>Some purchasers appreciated the stability features of the Asics Gel Kayano 25.</s><s>The underfoot cushioning system was appreciated by many people.</s><s>A couple of reviewers commended the shoe’s roomy toe box which allows natural toe-splay.</s><s>Some runners noted that this running shoe has an impressive fit.</s><s>The shoe is very versatile; some used this version for casual walks and gym workouts.</s><s>According to some user reviews, the shoe is durable.</s><s>The Kayano 25 is also available in wide width option.</s>	<s>The shoe is slightly expensive.</s><s>A couple of wearers experienced heel blister and ankle pain with the Asics Gel Kayano 25.</s>	The overwhelming number of positive feedback has proven that the Asics Gel Kayano 25 was satisfactory to most users. A few found the shoe expensive, but a lot of runners were happy with the shoe’s cushioning, stability and versatility. Overall, most purchasers have been enjoying using the Kayano 25 and they're satisfied with their purchase.	https://www.amazon.com/s?k=Asics+Gel+Kayano+25
3	Nike Epic React Flyknit	https://runrepeat.com/nike-epic-react-flyknit	87	4.1/5 from 390 users	https://cdn.runrepeat.com/i/nike/27379/nike-women-s-wmns-epic-react-flyknit-black-black-black-9-us-womens-black-black-black-485a-600.jpg	Road	Neutral			<s>The Nike Epic React Flyknit was a comfortable shoe right out of the box, several users exclaimed. Other runners expressed how comfortable the shoe is: some compared it to running on pillows and clouds, while another voiced comfort even on the knees.</s><s>The outsole was surprisingly durable, wrote a commenter.</s><s>The lightweight disposition helped increase running speed, a couple of reviewers observed.</s><s>A lot of wearers said that the Epic React Flyknit was a good-looking shoe.</s><s>Some runners were pleased with how responsive the midsole was.</s><s>One tester liked that the Flyknit upper was snug and structured.</s><s>There was just the right amount of cushioning: not too soft and not too firm, explained a reviewer.</s><s>The shoe allowed natural movement, even during fast-paced activities, commended a buyer.</s><s>The Epic React Flyknit was an excellent shoe for up-tempo days and speedy runs, a reviewer claimed.</s>	<s>The shoe had a narrow fit, according to a couple of purchasers.</s><s>Several customers experienced a weird popping noise from the shoe that was quite bothersome.</s><s>Not much support for midfoot strikers, a disappointed user stated.</s><s>Although lightweight, the shoe’s structure made it look bulky, a reviewer thought.</s><s>Some users disliked that the shoe required a break-in period.</s><s>A bit tight around the forefoot, according to numerous customers.</s><s>The Epic React Flyknit did not have a lot of grip on indoor surfaces, said a runner.</s><s>The heel counter was too rigid, especially during the first few wears, a wearer mentioned.</s>	The Nike Epic React Flyknit seemed to be a successful release, but not quite. Although many runners praised the shoe’s comfort level, durability, and weight, there were some who were dissatisfied with the fit and support. In terms of performance, the shoe received both raves and rants. Thus, it could be said that the Epic React Flyknit is an average running shoe; not perfect, but worth a try and worth the investment.	https://www.amazon.com/s?k=Nike+Epic+React+Flyknit
4	Asics Gel Venture 6	https://runrepeat.com/asics-gel-venture-6	94	4.5/5 from 2607 users	https://cdn.runrepeat.com/i/asics/24651/asics-men-s-gel-venture-6-running-shoes-frost-grey-phantom-black-14-medium-us-mens-frost-grey-phantom-black-f147-600.jpg	Trail	Neutral	11.2oz	9oz	<s>Most customers appreciated the strong build of the Asics Gel Venture 6, which made it great for trail running.</s><s>The runners mentioned that the shoe remained very comfortable throughout their long runs.</s><s>The users liked the fit of the Asics Gel Venture 6.</s><s>Most individuals thought that the shoe runs true to size.</s><s>The shoe offers a great level of support, according to a few users.</s><s>Many runners admired the versatility of the shoe; they wear the shoe for biking, hiking, and walking.</s><s>A runner appreciated the extra reinforcement on the shoe’s sides, as well as the supportive heel collar.</s><s>A majority of testers were happy with the overall aesthetic look of the shoe.</s><s>The individuals lauded the affordable price of Gel Venture 6.</s>	<s>A couple of wearers noticed that the gel cushioning is too firm for their liking.</s><s>A runner found these shoes to be a bit heavy for trail running.</s><s>A few users noticed that the outsole is not as grippy as expected.</s>	The Asics Gel Venture 6 is a versatile running shoe with all the qualities a runner would expect in a pair of agreeable trail running shoes. Many users are satisfied with the shoe because it is comfortable, stylish, supportive and durable. Though there are a few flaws,  overall, Venture 6 is a wise option for most individuals looking for an all-rounder in a reasonable price range.	https://www.amazon.com/s?k=Asics+Gel+Venture+6
5	Brooks Adrenaline GTS 18	https://runrepeat.com/brooks-adrenaline-gts-18	94	4.5/5 from 7191 users	https://cdn.runrepeat.com/i/brooks/25567/brooks-men-s-adrenaline-gts-18-grey-blue-black-running-shoe-7-5-men-us-mens-grey-blue-black-82ec-600.jpg	Road	Motion			<s>A lot of runners thought that the substantial cushioning was terrific and was balanced well with the arch support.</s><s>Numerous wearers appreciated the new, sleeker design of the Adrenaline GTS 18.</s><s>According to a tester, the shoe was lightweight and capable of enabling a comfortable ride.</s><s>A majority of buyers agreed that it was true-to-size.</s><s>One purchaser observed the shoe dried quickly after running under heavy rain.</s><s>Several buyers liked that there were various color options available.</s><s>The new streamlined upper gave a firm hold yet a non-irritating fit, said a reviewer.</s><s>Various consumers commended the shoe’s performance on long recovery runs.</s><s>Many users felt that it was comfortable enough right out of the box.</s>	<s>A hole formed in the toe box after only a week of use, one user commented.</s><s>A couple of buyers were not amazed by the heel design; one said that it did not give a secure fit, while another stated that it kept pulling the sock down while running.</s><s>One wearer felt it had less brace and padding compared to the previous version.</s><s>Another expressed that the upper mesh looked like a cheap material.</s>	The Brooks Adrenaline GTS 18 has kept the established reputation of its predecessor by delivering a ride and performance that most users have praised. However, some may not have been impressed by the durability and design elements. Overall, this stability running shoe was approved by consumers as a motion-control option with features that work well for its function.	https://www.amazon.com/s?k=Brooks+Adrenaline+GTS+18
6	Brooks Glycerin 16	https://runrepeat.com/brooks-glycerin-16	93	4.4/5 from 744 users	https://cdn.runrepeat.com/i/brooks/28161/brooks-men-s-glycerin-16-road-running-shoe-grey-navy-black-d-10-0-mens-grey-navy-black-5f65-600.jpg	Road	Neutral			<s>A significant number of purchasers described the Brooks Glycerin 16 as a “very comfortable’ running shoe.</s><s>Many people noted that the shoe feels true to size.</s><s>A lot of testers welcomed the shoe’s new upper; they mentioned that it looks nice and stylish.</s><s>Several purchased loved the lightweight design of the Glycerin 16.</s><s>Those who have tried the shoe admired the upper unit’s breathable coverage.</s><s>The shoe needs no break-in period, said some happy runners.</s><s>Some users have taken note of the shoe’s sock-like fit and stretchy upper.</s><s>More than a handful of users mentioned that the cushioning of the shoe is great for long-distance running.</s>	<s>The Brooks Glycerin 16 is slightly expensive.</s><s>A few users found the cushioning to be too soft for their liking.</s>	The 16th iteration of the Brooks Glycerin gained overwhelming positive feedback from its users, with special notes on its responsive cushioning, stylish design, and overall fit. Many attested to its impressive performance, but others found the price a bit pricey. Overall, the Brooks Glycerin 16 is indeed a fantastic road shoe for neutral runners.	https://www.amazon.com/s?k=Brooks+Glycerin+16
7	Under Armour Charged Bandit 3	https://runrepeat.com/under-armour-charged-bandit-3	92	4.3/5 from 791 users	https://cdn.runrepeat.com/i/under-armour/24777/under-armour-men-s-charged-bandit-3-running-shoes-stealth-gray-black-7-5-d-m-us-mens-stealth-gray-black-e287-600.jpg	Road	Neutral			<s>Many users said that the upper material was lightweight and extremely breathable.</s><s>The shoe provided a secure fit and a great overall foot support, according to some runners.</s><s>A majority of buyers commented that the shoe was comfortable.</s><s>Several users were satisfied that the color options available were pleasing to the eyes.</s><s>The lightweight nature and the agreeable heel cushioning received positive feedback.</s>	<s>Several reviewers thought the midsole was lacking in arch support.</s><s>There was not enough traction on wet trails, as observed by some runners.</s><s>Several buyers agreed that the toe box is narrow and uncomfortable.</s>	Made from a lightweight and breathable material, the Charged Bandit 3 is a comfortable running shoe that is recommended for both beginners and seasoned runners. It aims to deliver a consistent performance no matter the distance. While some may not be satisfied by the traction and support it offers, most users will find this a reliable option.	https://www.amazon.com/s?k=Under+Armour+Charged+Bandit+3
8	Nike Free RN 2018	https://runrepeat.com/nike-free-rn-2018	94	4.5/5 from 1122 users	https://cdn.runrepeat.com/i/nike/27837/nike-free-rn-2018-8-cargo-khaki-black-sequoia-mens-cargo-khaki-black-sequoia-4ca1-600.jpg	Road	Neutral	8.4oz	7oz	<s>Many people considered the Nike Free RN 2018 to be a comfortable running shoe for their daily activities.</s><s>Numerous purchasers lauded the lightweight nature of this running companion.</s><s>A lot of reviewers welcomed the light and breathable upper unit.</s><s>The heel section of the upper firmly secured the foot in place, according to some testers.</s><s>The sizing scheme followed expectations, most people reported.</s><s>A handful of people liked the various color schemes that were available for this model.</s><s>Several runners stated that the forefoot section was broad enough to accommodate the natural spreading of the toes.</s><s>The Nike Free RN 2018 didn’t look awkwardly bulky or fat, according to one user.</s><s>According to several users, the silhouette looked fashionable enough to be used for casual walks and regular non-strenuous activities.</s>	<s>Traction wasn’t very efficient on wet surfaces, some people noted.</s><s>Small stones tended to get stuck in the grooves of the outsole, most consumers complained.</s><s>Part of the collar came up too high, according to a tester. He commented that it rubbed against the skin of his ankle uncomfortably.</s><s>A purchaser felt some shin pains while running in a pair of the Free RN 2018.</s>	Many people were appreciative of the Nike Free RN 2018. This neutral road shoe received praise for its appealing looks, various colorways, its secure upper, and its lightweight disposition. Conversely, some weren’t too keen on its wet-surface traction while others complained of stones getting stuck between the flex grooves. Suffice it to say that most of the shoe-enthusiasts who have tried the year 2018 iteration of the Free RN were happy with its performance and construction.	https://www.amazon.com/s?k=Nike+Free+RN+2018
9	On Cloud	https://runrepeat.com/on-cloud	90	4.5/5 from 1078 users	https://cdn.runrepeat.com/i/on/17499/on-running-mens-cloud-black-white-shoe-13-mens-black-white-aa43-600.jpg	Road	Neutral	7oz	5.9oz	<s>Many people claimed that they felt no skin irritation while wearing the On Cloud; the inner sleeve was apparently smooth.</s><s>The lightweight build of this running shoe was appreciated by many testers.</s><s>The in-shoe experience felt snug yet accommodating, according to most consumers; they didn’t feel as if their movements were restrained.</s><s>A lot of runners stated that it was effortless to slip the foot in the foot-chamber of the On Cloud.</s><s>The aesthetics of this product were lauded by those who wanted to have a nice-looking shoe for their daily activities.</s><s>The cushioning system felt like standing and moving on actual clouds, as stated by several purchasers.</s><s>According to a handful of consumers, the grooved configuration of the underfoot platform permitted natural movement through the gait cycle.</s><s>This product felt steady and comfortable when taken to workouts at the gym.</s>	<s>Stones and other outdoor debris didn’t work well with the On Cloud; people complained of pebbles getting lodged between the spaces of the cushioning ‘clouds.’</s><s>A few people noted that the back portion of the upper was a bit stiff and that it caused some skin irritation.</s>	The response for the On Cloud was positive. People were generally happy with this road companions performance. They welcomed its flexible and lightweight design, the unique aesthetics, and the versatile construction as they were able to use it for activities other than running. The cloud-like cushioning system apparently evoked the feeling of standing on a soft surface. On the other hand, there were complaints about the midsole’s ‘cloud’ elements retaining stones in the holes of their façade while other issues stemmed from its apparently irritating collar.	https://www.amazon.com/s?k=On+Cloud
10	Nike Air Zoom Vomero 14	https://runrepeat.com/nike-air-zoom-vomero-14	88	4.1/5 from 59 users	https://cdn.runrepeat.com/i/nike/30511/nike-mens-air-zoom-vomero-14-nkah7857-600-6-d-m-us-burgundy-ash-gunsmoke-9a8d-600.jpg	Road	Neutral	9.9oz	8.6oz	<s>Some runners commented that the Nike Air Zoom Vomero 14 is comfortable.</s><s>The shoe is perfect for jogging and long-running activities, according to those who have tried it.</s><s>A lot of users appreciated the shoe’s excellent cushioning.</s><s>Based on a review, the shoe is versatile; it can be worn during road and trail running activities.</s><s>A few mentioned that the shoe feels light and fast.</s><s>The Vomero 14 fits true to size.</s>	<s>One of the users said that the Zoom unit was poking through the shoe's sole. As a result, he felt a little pain while running.</s>	The Nike Air Zoom Vomero made some of the purchasers pleased and satisfied because of its excellent cushioning. They appreciated the shoe's performance in different outdoor activities. Although one of them has a problem with the Zoom tech that was poking through the sole, others still recommend the running shoe because of the comfort it provides. In general, the Nike Zoom Vomero gained a positive response from a lot of wearers.	https://www.amazon.com/s?k=Nike+Air+Zoom+Vomero+14
11	Nike Revolution 4	https://runrepeat.com/nike-revolution-4	94	4.6/5 from 2225 users	https://cdn.runrepeat.com/i/nike/30160/nike-revolution-4-eu-zapatillas-de-running-para-hombre-negro-black-black-002-39-eu-negro-black-black-002-72df-600.jpg	Road	Neutral	9.5oz	7.1oz	<s>People were happy that the price for a pair of the Nike Revolution 4 was affordable.</s><s>A lot of consumers liked the cool design of the Nike Revolution 4, stating that pleasing to the eyes.</s><s>Several testers welcomed the availability of wide widths, with some praising the ability to choose became accommodating.</s><s>Most of those who have tested this neutral shoe agreed that the sizing scheme followed their expectations.</s><s>The underfoot platform suitably flexed with each step, according to many runners.</s><s>The upper unit kept the foot ventilated, based on a slew of reviews.</s><s>Several people sometimes wore this running shoe without socks, and they reported no instance of hot spots or skin irritation.</s><s>The variety of color schemes was lauded by consumers; they welcomed the vibrant hues and the option to choose from many alternatives.</s><s>Consumers liked the lightweight nature of the Nike Revolution 4’s materials; they didn’t feel weighed down by platform or the upper.</s>	<s>The sides of the shoe’s upper developed a hole after only a few uses, several testers claimed.</s><s>This shoe was half-a-size smaller than expected, according to a handful of runners.</s><s>A few purchasers observed that the forefoot section was a bit tight.</s><s>A couple of people stated that the colors of the product that they received didn’t match the visual representation in the web pages.</s>	The Nike Revolution 4 received overwhelmingly positive reviews from shoe enthusiasts everywhere. This road-companion was loved for its appealing aesthetics, flexible underfoot experience, and well-ventilated upper. The price was also praised as it didn’t break the bank. On the other hand, there were a few complaints about the durability of the upper, as well as the slightly-small sizing scheme. Furthermore, a tight-fitting front section turned off some consumers as others lamented a not-so-accurate-from-the-pictures color scheme.	https://www.amazon.com/s?k=Nike+Revolution+4
12	Saucony Kinvara 9	https://runrepeat.com/saucony-kinvara-9	92	4.4/5 from 491 users	https://cdn.runrepeat.com/i/saucony/27402/saucony-kinvara-9-zapatillas-de-deporte-para-hombre-blanco-wht-blu-blk-2-40-5-eu-hombre-blanco-wht-blu-blk-2-69c6-600.jpg	Road	Neutral			<s>A lot of wearers commented that the shoe was very responsive.</s><s>According to some testers, the Saucony Kinvara 9 was supportive.</s><s>The shoe has an affordable price, according to some purchasers.</s><s>Many reviewers noted that it fitted like a glove upon wearing the shoe.</s><s>Several wearers were impressed with the Saucony Kinvara 9's lightweight structure.</s><s>The majority of the testers said that the upper construction was flexible.</s><s>A handful of buyers reported that the shoe was breathable.</s><s>Some of the consumers loved its wide toe box.</s><s>The shoe was stylish, noted by many buyers.</s>	<s>One of the runners commented that the Saucony Kinvara 9 was uncomfortable. He felt a little tightness in the arch and midfoot area.</s><s>Several users noted that the shoe has limited color options.</s>	The Saucony Kinvara 9 was lauded enough by a handful of buyers who have tried it. Many of them appreciated the feeling of comfort and lightness it provided after every running session. Aside from its fantastic structure, users gave recognition to the shoes’ cushioning system, breathability, and responsiveness. Although some wearers have experienced a little pain in the arch and midfoot area, others still recommended the shoe because of its versatility. Overall, the Saucony Kinvara 9 has made a lot of users happy and contented because of its reasonable price, great-looking design, excellent construction, and amazing performance on the roads.	https://www.amazon.com/s?k=Saucony+Kinvara+9
13	Nike Odyssey React	https://runrepeat.com/nike-odyssey-react	87	4.1/5 from 235 users	https://cdn.runrepeat.com/i/nike/27839/nike-odyssey-react-men-s-running-shoe-medium-olive-sequoia-light-silver-male-medium-olive-sequoia-light-silver-60ba-600.jpg	Road	Neutral	8.6oz	6.9oz	<s>Many runners appreciated the color schemes of the Nike Odyssey React.</s><s>The lightweight nature of this running shoe allowed consumers an unencumbered experience on the roads.</s><s>‘Comfortable’ was a word that was prominently used to describe this product.</s><s>Most testers liked the React midsole’s capacity to cushion the foot responsibly.</s><s>Several purchasers welcomed the energy-return that’s delivered by the midsole foam.</s><s>The neoprene tongue was well-liked by many because it didn’t cause any irritation to the skin.</s><s>The price was agreeable for a shoe that features relatively new technology, some people commented.</s><s>A handful of testers liked the traction capacity of the rubber bottom, stating that it was efficient.</s><s>The addition of more rubber in the critical sections of the outsole was famously praised by users and reviewers alike.</s><s>Several reviewers liked that this model functioned well as a performance companion and as a casual choice of apparel.</s>	<s>A consumer claimed that the Odyssey React’s upper unit crinkled easily, causing its material to look and feel cheap.</s><s>The narrow toe-box turned off those who had wide feet.</s><s>The outsole rubber wore off quickly when used on treadmills, a few testers observed.</s><s>Some people lamented the more prominent profile of this model, even directly comparing it to its sibling, the Epic React model.</s>	Many people were positive about the arrival of the Nike Odyssey React. They welcomed this road shoe’s more budget-friendly price, the pretty design and the comfortable underfoot platform. Moreover, they were happy with the light build. On the other hand, some purchasers weren’t pleased with the cheap-looking upper while others lamented the tight toe box and flimsy outsole construction.	https://www.amazon.com/s?k=Nike+Odyssey+React
14	Mizuno Wave Rider 22	https://runrepeat.com/mizuno-wave-rider-22	94	4.6/5 from 472 users	https://cdn.runrepeat.com/i/mizuno/29154/mizuno-men-s-wave-rider-22-running-shoes-nautical-blue-cherry-tomato-7-5-d-us-mens-nautical-blue-cherry-tomato-bb68-600.jpg	Road	Neutral	10oz	8.5oz	<s>People were generally happy with the aesthetics of the Mizuno Wave Rider 22, stating that the colors and design were visually appealing.</s><s>The underfoot cushioning system was considered to be very comfortable, some consumers noted.</s><s>The width profiles of both the men and women’s versions accommodated medium-sized feet, based on a handful of reviews.</s><s>Several purchasers commented that the general durability of the components was dependable.</s><s>The grip capability of the outsole was sure and precise, according to a couple of runners.</s>	<s>Some people claimed that the Mizuno Wave Rider 22 either half-a-size or a full size smaller than the standard sizing expectations.</s><s>The overlays on the upper tended to press into the fabric and cause irritation to the foot, some testers reported.</s>	The Mizuno Wave Rider 22 was well-received. This update to the long-running series of neutral shoes was deemed worthy of the Rider name, mainly when it came to its general quality and efficacy on the roads. People loved the visual design, the agreeable fit profile, and the sturdy build of this footwear. Inversely, the sizing scheme was panned for being too small while the overlay system was criticized for pressing into the façade.	https://www.amazon.com/s?k=Mizuno+Wave+Rider+22
15	Nike Air Zoom Winflo 5	https://runrepeat.com/nike-air-zoom-winflo-5	93	4.6/5 from 464 users	https://cdn.runrepeat.com/i/nike/28778/nike-zoom-winflo-5-mens-aa7406-011-cool-grey-black-wolf-grey-pure-platinum-d9bb-600.jpg	Road	Stability	10oz	8oz	<s>The underfoot cushioning unit of the Nike Air Zoom Winflo 5 was lauded for stabilizing the foot as it goes through the gait cycle.</s><s>Some testers who suffered from plantar fasciitis were thankful that the midsole alleviated the pain.</s><s>The color schemes were welcomed; people liked the vibrancy of the façade.</s><s>Several people claimed that this shoe was suitably true-to-size.</s><s>A handful of consumers liked that the toe box was roomy enough to accommodate toe-splay.</s><s>Some heavyset purchasers observed the platform holding the weight of their body adequately; they didn’t feel the foam buckle or sag.</s><s>Wearing this running shoe for extended periods didn’t result in foot-fatigue, according to many shoe enthusiasts.</s><s>The width profiles of both the men and women’s versions were deemed accurate.</s>	<s>A few people complained that this looked awkwardly bulky.</s><s>A handful of runners felt that it was half-a-size bigger than their expectations.</s>	The Nike Air Zoom Winflo 5 was considered by many to be a worthy addition to the Winflo series of running shoes. The midsole unit became the focus of the acclaim; people liked its pain-alleviating construction and the pronation-correcting midfoot section. A lot was also stated about its width and sizing schemes adhering to expectations. On the other hand, some consumers weren’t happy with the design; others claimed that the sizes were inconsistent.	https://www.amazon.com/s?k=Nike+Air+Zoom+Winflo+5
16	Nike Zoom Fly Flyknit	https://runrepeat.com/nike-zoom-fly-flyknit	92	4.4/5 from 115 users	https://cdn.runrepeat.com/i/nike/30703/nike-zoom-fly-flyknit-scarpe-da-trail-running-uomo-bianco-oliva-sequoia-summit-white-olive-flak-303-41-eu-multicolore-bianco-oliva-sequoia-summit-white-olive-flak-303-20e5-600.jpg	Road	Neutral	8.4oz	7.2oz	<s>Many people stated that the midsole unit of the Nike Zoom Fly Flyknit was highly responsive to their movements.</s><s>The carbon fiber plate integrated into the midsole gained some fans as it apparently helped in making each step as springy as possible.</s><s>The Flyknit upper was considered by most consumers as one of the best cover systems in the market because it secured the foot in a lightweight and breathable wrap.</s><s>Several runners were happy that this shoe accommodated their sizing expectations.</s><s>Purchasers have lauded the aesthetics of the Nike Zoom Fly Flyknit, stating that its looks were visually striking.</s><s>This shoe just felt fast, according to more than a handful of users.</s>	<s>Some people complained that the outsole unit already started to wear off after only a few uses.</s><s>Several individuals noted that this shoe’s profile was heavy for their tastes, emphasizing that it didn’t allow them to wear it for very long.</s><s>The removable nature of the insole caused it to shift around irritatingly, a few testers observed.</s><s>The collar tended to rub against the ankles, causing discomfort, according to some consumers.</s>	The Nike Zoom Fly Flyknit offered a lot when it comes to responsive performance on the roads. People were generally happy with the touted younger brother of the Vaporfly 4%. They welcomed the fresh looks, the fast heel-to-transitions, the high-quality midsole, and the breathable Flyknit upper. On the other hand, there were those who complained that the weight of this road shoe was more substantial than they anticipated; others weren’t happy with the easy-to-wear-off outsole and the way the collar chafed the ankles irritatingly.	https://www.amazon.com/s?k=Nike+Zoom+Fly+Flyknit
17	Adidas Solar Glide	https://runrepeat.com/adidas-solar-glide	93	4.3/5 from 919 users	https://cdn.runrepeat.com/i/adidas/28674/adidas-men-s-solar-glide-running-shoe-legend-ink-white-aqua-12-5-m-us-mens-legend-ink-white-aqua-8a46-600.jpg	Road	Neutral	10.8oz	9.7oz	<s>The design and color schemes of the Adidas Solar Glide were lauded by those who have tried it.</s><s>Many people felt that the size options followed their expectations.</s><s>The width profiles suitably accommodated consumers who had medium foot-dimensions.</s><s>The underfoot cushioning was appreciated for being responsive and comfortable.</s><s>Several runners noted that the lightweight nature of this running shoe ensured a speedy performance.</s><s>The general quality of the materials was considered to be dependable.</s><s>A couple of reviewers appreciated the outsole unit’s capacity to hold onto the surfaces.</s>	<s>According to a tester, some friction could be felt on the eyelets of the shoe whenever the laces were tightened.</s><s>A purchaser claimed that it was slightly larger than what he expected.</s>	The Adidas Solar Glide was mainly well-received by those who have tested it. People were happy with the aesthetics of this neutral shoe, as well as its lightweight build and quality materials. Contrariwise, there were some minor qualms about material rubbing while a single complaint was directed to the inconsistent sizing.	https://www.amazon.com/s?k=Adidas+Solar+Glide
18	Brooks Launch 5	https://runrepeat.com/brooks-launch-5	93	4.5/5 from 1844 users	https://cdn.runrepeat.com/i/brooks/26371/brooks-men-s-launch-5-running-shoe-brk-110278-1d-39373h0-14-420-blu-blk-org-mens-blue-black-orange-8c30-600.jpg	Road	Neutral			<s>The design of the Brooks Launch 5 was appreciated for being appealing to the eyes.</s><s>Several consumers welcomed its suitably lightweight nature.</s><s>The cushioning system received positive feedback for being responsive and agreeable.</s><s>According to some testers, the softness of the midsole foam evoked a feeling of running on clouds.</s><s>Many runners considered this running shoe to be one of the most comfortable road companions.</s><s>A lot of people lauded the spacious toe box; it allowed their toes to spread nicely with each step.</s><s>Some runners felt that it didn’t need a break-in period; it was accommodating right from the start.</s><s>Wearing this running shoe for the entire day didn’t cause any discomfort or fatigue.</s><s>The sizing scheme followed the usual preferences of consumers.</s>	<s>The arch of this shoe was apparently too high for some testers.</s><s>A few runners felt that the width was a bit narrow.</s>	Calling the Brooks Launch 5 a suitable upgrade is an understatement. This neutral shoe reignited many runners’ desires for the long-standing series. They welcomed its appealing looks, its agreeable construction, and its comfortable underfoot experience. A few consumers had complaints about its width and arch, but that didn’t diminish the overall positive response.	https://www.amazon.com/s?k=Brooks+Launch+5
19	Asics Gel Contend 4	https://runrepeat.com/asics-gel-contend-4	93	4.5/5 from 3227 users	https://cdn.runrepeat.com/i/asics/23992/asics-men-s-gel-contend-4-running-shoe-silver-classic-blue-black-12-5-m-us-mens-silver-classic-blue-black-b9f7-600.jpg	Road	Neutral			<s>Several runners exclaimed that the Gel Contend 4, by far, is the most comfortable shoe they have ever bought.</s><s>It has a bang for the buck price tag.</s><s>More than a handful noted that it looks much better than the past model.</s><s>Asics offers the shoe in different widths.</s><s>There are already a handful of different color options.</s><s>A few runners have used it as a gym companion as well.</s><s>The removable insole accommodates various orthotics.</s><s>The roomy interior was greatly appreciated by more than a few.</s><s>The shoe is very breathable, according to some reviewers.</s>	<s>Based on the observations of a few fans of the Contend, the 4th edition is not as supportive as before.</s><s>A couple of buyers felt that the fit was a tad too loose.</s>	Although not as heralded as some of the latest releases from Asics, the Contend 4 is already shaping up to be one of the most reliable and sturdy low mileage trainers that should benefit entry level runners or those who are looking for an easy day on the road. The shoe has very decent arch support, a plush interior, and adequate durability for those miles on the road.	https://www.amazon.com/s?k=Asics+Gel+Contend+4
